row_id,series_id,year_month,step,p10,p25,p50,p75,p90,target
0_272,0,272,1,2.354095935821533,3.0591161251068115,4.297492980957031,5.958825588226318,6.8120036125183105,9.0
0_273,0,273,2,4.620275020599365,5.287386417388916,7.075685977935791,9.171911239624023,10.050464630126953,4.0
0_274,0,274,3,4.500401496887207,5.204963207244873,6.991621017456055,9.109330177307129,10.053812980651855,10.000000953674316
0_275,0,275,4,2.252323627471924,3.0740106105804443,4.439960479736328,5.978461265563965,7.038857936859131,10.000000953674316
0_276,0,276,5,4.614160537719727,5.565056800842285,7.230052947998047,9.355706214904785,10.077244758605957,10.000000953674316
0_277,0,277,6,4.450179100036621,5.276999473571777,7.089559555053711,9.185991287231445,10.04645824432373,1.0
12_267,12,267,1,0.9530733227729797,1.012900471687317,1.9976996183395386,2.9481823444366455,3.9887020587921143,3.0
12_268,12,268,2,0.9539147615432739,1.0170868635177612,1.9952131509780884,2.93548846244812,3.952526807785034,3.0
12_269,12,269,3,0.4431602954864502,1.014168620109558,1.9928441047668457,2.928436040878296,3.881242513656616,1.0
12_270,12,270,4,0.8610305786132812,1.0246332883834839,2.0005862712860107,2.964395761489868,3.9223031997680664,3.0
12_271,12,271,5,0.09408344328403473,1.0059505701065063,1.9893295764923096,2.9435324668884277,3.8629748821258545,5.0
12_272,12,272,6,0.9329896569252014,1.0226269960403442,2.0011065006256104,2.9723258018493652,3.9876112937927246,3.0
17_268,17,268,1,21.122827529907227,36.42058181762695,57.22709655761719,82.93963623046875,110.9704818725586,63.0
17_269,17,269,2,25.24489974975586,41.355743408203125,64.22611999511719,91.53233337402344,119.75071716308594,44.00000381469727
17_270,17,270,3,12.614434242248535,26.614093780517578,44.51972961425781,68.25240325927734,93.33631134033203,84.0
17_271,17,271,4,16.29442596435547,31.57976531982422,51.93782043457031,77.95538330078125,106.16842651367188,59.00000381469727
17_272,17,272,5,24.52022933959961,42.53996276855469,67.95133209228516,98.30777740478516,129.65281677246094,81.0
17_273,17,273,6,7.404387474060059,21.59709930419922,40.22024154663086,64.5225830078125,91.37828063964844,64.9999771118164
22_267,22,267,1,0.008252649568021297,0.9783837795257568,1.3371599912643433,2.729916572570801,4.246445178985596,1.0
22_268,22,268,2,0.022098271176218987,0.9834679961204529,1.9293469190597534,2.9088594913482666,4.5093584060668945,-1.1920928244535389e-07
22_269,22,269,3,0.012262187898159027,0.9868646264076233,1.3406739234924316,2.0907490253448486,4.117785453796387,-1.1920928244535389e-07
22_270,22,270,4,0.011563857086002827,0.9855294823646545,1.0565309524536133,2.0725958347320557,4.111760139465332,-1.1920928244535389e-07
22_271,22,271,5,0.0,0.19342319667339325,1.0509576797485352,2.129486560821533,4.072016716003418,1.0
22_272,22,272,6,0.004749618005007505,0.9793057441711426,1.0763449668884277,2.027500867843628,3.59956693649292,2.0
24_266,24,266,1,2.911425828933716,3.6972649097442627,4.981321811676025,6.086641311645508,8.4232177734375,5.0
24_267,24,267,2,2.8983397483825684,3.1094698905944824,4.901951313018799,6.028039455413818,8.171791076660156,1.0
24_268,24,268,3,2.8633742332458496,3.1037440299987793,4.952850341796875,6.1798224449157715,8.640100479125977,5.0
24_269,24,269,4,2.9080307483673096,3.418874740600586,4.955780506134033,6.041028022766113,8.165860176086426,2.0
24_270,24,270,5,2.9033849239349365,3.795276403427124,4.991081237792969,6.135008811950684,8.503816604614258,6.000000476837158
24_271,24,271,6,2.897315263748169,3.0728061199188232,4.167660713195801,6.010738849639893,8.109956741333008,-1.1920928244535389e-07
43_270,43,270,1,2.910196304321289,4.240249156951904,6.102395057678223,8.282684326171875,10.823772430419922,10.000000953674316
43_271,43,271,2,2.851778984069824,4.181708812713623,6.0546488761901855,8.220173835754395,10.699333190917969,5.0
43_272,43,272,3,2.7068772315979004,4.101101398468018,5.989867687225342,8.10257625579834,10.458895683288574,6.000000476837158
43_273,43,273,4,2.577366352081299,4.062803268432617,5.9512224197387695,8.002626419067383,10.268160820007324,11.0
43_274,43,274,5,2.7376511096954346,4.133443832397461,5.997363567352295,8.136235237121582,10.530037879943848,5.0
43_275,43,275,6,3.0104117393493652,4.484612464904785,6.2858405113220215,8.560708045959473,11.27682113647461,5.0
56_266,56,266,1,0.0,0.0,0.9745662808418274,1.9669201374053955,2.9062609672546387,1.0
56_267,56,267,2,0.0,0.0,0.9661986827850342,1.7167515754699707,2.3270695209503174,1.0
56_268,56,268,3,0.0,0.0,0.9512638449668884,1.2823917865753174,2.443852186203003,3.0
56_269,56,269,4,0.0,0.0,0.9706066250801086,1.8532174825668335,2.649186611175537,1.0
56_270,56,270,5,0.0,0.0,0.976502537727356,1.9194767475128174,2.7884538173675537,3.0
56_271,56,271,6,0.0,0.0,0.9750118851661682,1.0840513706207275,2.382392406463623,-1.1920928244535389e-07
73_269,73,269,1,0.30459171533584595,1.5089783668518066,3.3003437519073486,5.661990642547607,8.08720588684082,3.0
73_270,73,270,2,0.06251052767038345,1.2227414846420288,2.9595961570739746,5.363475322723389,7.84300422668457,6.000000476837158
73_271,73,271,3,0.7932137250900269,2.217794418334961,4.253100872039795,6.7237548828125,9.078548431396484,6.000000476837158
73_272,73,272,4,1.144629955291748,2.7197930812835693,4.935354709625244,7.4574174880981445,9.61324691772461,7.0
73_273,73,273,5,1.1316133737564087,2.694387435913086,4.931848526000977,7.455782413482666,9.553895950317383,8.0
73_274,73,274,6,1.36991548538208,3.0413315296173096,5.365543842315674,7.750792980194092,9.66883659362793,5.0
88_271,88,271,1,0.0,0.07250486314296722,1.0410805940628052,2.0275566577911377,3.029036521911621,2.0
88_272,88,272,2,0.0,0.05713280290365219,1.0582743883132935,2.0614535808563232,3.050481081008911,2.0
88_273,88,273,3,0.0,0.10087134689092636,1.9536923170089722,2.9234976768493652,3.1249005794525146,5.0
