row_id,series_id,year_month,step,p10,p25,p50,p75,p90,target
0_2024-11,0,2024-11,1,5831060.5,5948371.5,6093279.5,6238803.5,6359344.5,6106518.0
0_2024-12,0,2024-12,2,5796987.0,5896744.5,6022598.0,6174571.5,6327248.0,6338200.0
0_2025-01,0,2025-01,3,5887488.5,6024842.5,6171477.0,6332161.0,6440008.0,6483706.0
0_2025-02,0,2025-02,4,5785323.5,5891747.5,6041273.5,6206744.5,6344675.5,5788679.5
0_2025-03,0,2025-03,5,5768117.0,5852669.0,5973431.5,6119725.5,6275208.0,6167385.0
0_2025-04,0,2025-04,6,5894113.0,6033509.5,6183870.5,6341247.5,6439112.5,6268637.0
0_2024-12,0,2024-12,1,5778776.5,5866636.0,5988143.5,6121795.5,6261394.5,6338200.0
0_2025-01,0,2025-01,2,5900913.5,6040975.5,6175223.5,6318667.5,6418916.5,6483706.0
0_2025-02,0,2025-02,3,5814745.0,5940249.0,6089859.5,6230645.0,6355024.0,5788679.5
0_2025-03,0,2025-03,4,5762244.5,5849529.5,5969128.5,6106808.0,6252676.5,6167385.0
0_2025-04,0,2025-04,5,5881999.0,6022362.0,6155315.0,6295290.5,6405831.0,6268637.0
0_2025-05,0,2025-05,6,5842034.0,5978980.0,6121226.5,6255355.5,6372581.5,6495899.0
0_2025-01,0,2025-01,1,5927915.0,6102066.5,6277384.0,6397641.0,6487196.5,6483706.0
0_2025-02,0,2025-02,2,5808895.0,5949548.5,6117209.0,6270721.5,6384485.5,5788679.5
0_2025-03,0,2025-03,3,5823165.0,5968181.0,6134995.5,6287498.0,6395499.0,6167385.0
0_2025-04,0,2025-04,4,5906194.5,6085384.0,6267523.0,6397281.0,6498570.0,6268637.0
0_2025-05,0,2025-05,5,5857145.5,6018880.0,6192500.0,6339512.5,6434120.0,6495899.0
0_2025-06,0,2025-06,6,5839687.5,5990701.0,6163468.5,6315189.5,6414606.5,6238341.0
0_2025-02,0,2025-02,1,5854320.0,5995318.0,6148215.5,6289923.0,6412666.0,5788679.5
0_2025-03,0,2025-03,2,6140806.5,6317171.5,6440497.0,6536295.0,6635683.0,6167385.0
0_2025-04,0,2025-04,3,6202961.0,6362921.5,6474677.0,6573411.5,6687205.5,6268637.0
0_2025-05,0,2025-05,4,5841594.5,6003558.0,6179976.5,6343387.0,6485938.5,6495899.0
0_2025-06,0,2025-06,5,5875420.5,6039410.5,6213898.0,6371123.0,6496778.5,6238341.0
0_2025-07,0,2025-07,6,6187355.0,6342105.0,6456961.5,6553084.5,6663419.5,6719252.5
0_2025-03,0,2025-03,1,5945975.5,6081943.5,6217982.0,6337397.0,6431576.5,6167385.0
0_2025-04,0,2025-04,2,5971228.5,6110990.5,6248726.0,6374200.0,6467424.5,6268637.0
0_2025-05,0,2025-05,3,5938214.5,6080451.0,6217018.0,6338733.5,6436985.5,6495899.0
0_2025-06,0,2025-06,4,5932365.5,6080165.5,6222771.5,6346399.5,6444170.5,6238341.0
0_2025-07,0,2025-07,5,6080736.0,6213616.0,6346059.5,6456129.5,6540093.5,6719252.5
0_2025-08,0,2025-08,6,5734940.5,5839611.5,5974651.5,6117296.5,6248330.0,6162875.5
0_2025-04,0,2025-04,1,5966961.0,6104988.5,6225935.0,6356371.5,6458106.5,6268637.0
0_2025-05,0,2025-05,2,5852425.0,6009920.0,6159084.0,6289337.0,6393163.5,6495899.0
0_2025-06,0,2025-06,3,5723500.0,5852785.5,6024467.0,6203333.0,6346345.5,6238341.0
0_2025-07,0,2025-07,4,5951373.5,6133672.0,6300757.5,6433008.5,6526284.5,6719252.5
0_2025-08,0,2025-08,5,5899232.5,6056833.5,6199291.5,6324373.5,6423845.5,6162875.5
0_2025-09,0,2025-09,6,5850464.5,5996427.5,6141708.5,6281665.5,6390398.5,6469950.5
0_2025-05,0,2025-05,1,5744942.0,5889471.0,6070576.0,6231031.5,6349693.0,6495899.0
0_2025-06,0,2025-06,2,5917974.0,6097164.0,6255440.5,6383605.5,6483679.5,6238341.0
0_2025-07,0,2025-07,3,6016743.0,6182102.5,6326808.0,6435692.5,6518048.5,6719252.5
0_2025-08,0,2025-08,4,5752599.5,5898397.5,6074654.5,6232130.5,6350653.5,6162875.5
0_2025-09,0,2025-09,5,5832374.5,5985390.5,6148457.0,6286154.0,6387904.0,6469950.5
