row_id,series_id,year_month,step,p10,p25,p50,p75,p90,target
0_2024-11,0,2024-11,1,5862107.5,6024637.0,6190326.0,6355671.5,6525771.5,6106518.0
0_2024-12,0,2024-12,2,5819816.0,5988377.5,6168453.0,6349744.0,6530707.5,6338200.0
0_2025-01,0,2025-01,3,5804446.0,5978887.0,6165926.0,6356144.0,6544114.0,6483706.0
0_2025-02,0,2025-02,4,5770842.5,5952665.0,6142865.0,6334916.0,6536049.0,5788679.5
0_2025-03,0,2025-03,5,5769467.0,5953535.0,6149310.0,6350432.0,6554488.5,6167385.0
0_2025-04,0,2025-04,6,5769080.5,5959577.0,6154831.0,6356035.0,6568203.5,6268637.0
0_2024-12,0,2024-12,1,5818054.5,5974808.0,6133356.0,6290151.0,6448174.5,6338200.0
0_2025-01,0,2025-01,2,5805844.5,5968539.0,6139951.0,6311437.0,6477413.0,6483706.0
0_2025-02,0,2025-02,3,5768163.0,5936935.5,6113846.5,6294093.5,6467182.0,5788679.5
0_2025-03,0,2025-03,4,5761735.0,5939256.0,6118233.5,6299897.0,6484337.5,6167385.0
0_2025-04,0,2025-04,5,5765876.5,5944216.0,6129169.5,6318073.5,6505084.5,6268637.0
0_2025-05,0,2025-05,6,5771984.0,5956507.5,6141852.0,6330455.5,6524861.5,6495899.0
0_2025-01,0,2025-01,1,5908430.0,6062334.5,6217987.5,6365518.0,6511858.0,6483706.0
0_2025-02,0,2025-02,2,5867543.0,6030599.0,6200391.0,6366614.0,6523119.5,5788679.5
0_2025-03,0,2025-03,3,5843188.5,6012763.0,6192278.0,6368460.0,6531620.0,6167385.0
0_2025-04,0,2025-04,4,5840622.0,6022330.0,6204402.0,6381435.0,6558145.5,6268637.0
0_2025-05,0,2025-05,5,5844421.0,6027703.0,6219978.0,6405346.0,6583756.0,6495899.0
0_2025-06,0,2025-06,6,5801429.5,5993027.0,6185421.5,6372394.5,6560828.0,6238341.0
0_2025-02,0,2025-02,1,5943616.0,6123123.0,6298200.5,6462407.5,6622382.5,5788679.5
0_2025-03,0,2025-03,2,5893815.0,6085722.0,6281443.0,6466686.5,6640626.5,6167385.0
0_2025-04,0,2025-04,3,5869727.0,6071632.5,6276927.0,6477153.0,6662759.5,6268637.0
0_2025-05,0,2025-05,4,5864664.0,6081874.0,6290674.5,6496836.0,6700033.0,6495899.0
0_2025-06,0,2025-06,5,5827825.0,6047552.0,6265930.5,6482873.0,6690208.0,6238341.0
0_2025-07,0,2025-07,6,5824626.0,6054367.5,6277228.5,6494228.0,6711393.0,6719252.5
0_2025-03,0,2025-03,1,5762475.5,5945472.5,6126261.5,6305319.5,6473499.5,6167385.0
0_2025-04,0,2025-04,2,5768335.0,5960015.0,6156587.0,6348089.0,6518451.0,6268637.0
0_2025-05,0,2025-05,3,5728960.0,5925359.0,6127550.5,6324667.0,6499108.0,6495899.0
0_2025-06,0,2025-06,4,5754785.5,5961523.0,6163739.0,6360769.0,6543179.0,6238341.0
0_2025-07,0,2025-07,5,5741635.5,5945871.0,6154222.0,6354687.5,6535118.5,6719252.5
0_2025-08,0,2025-08,6,5737610.5,5946214.0,6154830.5,6353757.0,6539042.5,6162875.5
0_2025-04,0,2025-04,1,5851626.0,6026179.0,6196920.0,6360419.0,6512890.0,6268637.0
0_2025-05,0,2025-05,2,5807096.5,5989527.0,6173737.0,6348107.0,6503522.0,6495899.0
0_2025-06,0,2025-06,3,5813261.5,6001495.0,6190124.0,6369054.0,6527498.5,6238341.0
0_2025-07,0,2025-07,4,5804832.5,6002279.5,6191913.0,6370397.0,6535939.0,6719252.5
0_2025-08,0,2025-08,5,5798920.0,5995706.5,6190124.0,6372554.5,6536976.5,6162875.5
0_2025-09,0,2025-09,6,5788682.0,5992080.0,6186293.0,6367820.0,6536890.0,6469950.5
0_2025-05,0,2025-05,1,5878637.0,6044095.0,6203266.5,6354220.0,6498076.0,6495899.0
0_2025-06,0,2025-06,2,5865951.5,6039765.0,6214308.5,6377186.0,6525483.5,6238341.0
0_2025-07,0,2025-07,3,5852694.0,6034802.0,6216843.5,6384752.0,6535807.0,6719252.5
0_2025-08,0,2025-08,4,5834626.5,6028161.0,6210711.0,6378947.0,6536005.0,6162875.5
0_2025-09,0,2025-09,5,5835150.0,6028098.0,6214464.5,6388837.5,6545636.0,6469950.5
0_2025-10,0,2025-10,6,5833827.5,6030840.0,6217123.0,6389539.5,6552955.5,6665093.5
0_2025-06,0,2025-06,1,5925579.0,6104452.0,6276215.0,6437681.5,6591394.0,6238341.0
0_2025-07,0,2025-07,2,5906520.0,6092894.0,6278891.5,6455796.0,6613932.5,6719252.5
0_2025-08,0,2025-08,3,5880694.5,6074812.0,6268382.5,6450878.5,6615253.5,6162875.5
0_2025-09,0,2025-09,4,5856155.0,6058878.0,6254804.5,6438620.0,6611139.0,6469950.5
0_2025-10,0,2025-10,5,5853777.5,6059510.0,6261953.5,6450747.5,6625485.0,6665093.5
0_2025-11,0,2025-11,6,5846073.0,6056296.5,6260049.0,6447903.0,6627973.5,6121853.0
0_2025-07,0,2025-07,1,5965573.5,6125670.0,6277178.0,6414562.0,6541556.0,6719252.5
0_2025-08,0,2025-08,2,5933194.5,6102683.0,6267379.5,6415761.0,6546140.5,6162875.5
0_2025-09,0,2025-09,3,5909664.5,6085786.0,6256136.5,6409670.0,6544217.5,6469950.5
0_2025-10,0,2025-10,4,5914048.0,6099222.0,6270904.0,6424977.0,6565639.0,6665093.5
0_2025-11,0,2025-11,5,5906445.5,6093346.5,6270401.0,6428313.5,6568346.5,6121853.0
0_2025-12,0,2025-12,6,5902031.5,6094644.5,6272493.0,6429713.0,6573266.0,6810397.0
0_2025-08,0,2025-08,1,6028802.0,6213908.5,6405983.0,6593368.0,6784590.0,6162875.5
0_2025-09,0,2025-09,2,5966508.5,6157755.0,6365131.5,6568549.0,6772665.0,6469950.5
0_2025-10,0,2025-10,3,5959963.0,6156834.0,6370798.5,6584500.0,6795374.0,6665093.5
0_2025-11,0,2025-11,4,5939535.5,6147998.0,6362137.0,6576120.0,6802015.5,6121853.0
0_2025-12,0,2025-12,5,5935899.0,6144608.5,6364043.5,6589545.5,6815271.5,6810397.0
0_2026-01,0,2026-01,6,5927955.0,6144108.5,6364613.0,6589978.0,6826842.0,6540338.0
0_2025-09,0,2025-09,1,5912182.0,6099148.5,6286837.5,6470798.5,6652347.5,6469950.5
0_2025-10,0,2025-10,2,5895888.5,6091498.0,6294189.0,6493816.5,6682537.5,6665093.5
0_2025-11,0,2025-11,3,5877370.0,6079042.0,6289064.5,6495576.5,6690081.0,6121853.0
0_2025-12,0,2025-12,4,5873945.0,6087097.0,6298257.5,6505597.0,6709518.0,6810397.0
0_2026-01,0,2026-01,5,5877926.5,6091056.0,6308876.0,6523102.0,6729261.0,6540338.0
0_2026-02,0,2026-02,6,5838382.5,6060106.5,6278719.5,6491667.0,6704389.5,6033125.0
0_2025-10,0,2025-10,1,5982476.0,6163496.5,6342758.0,6517871.0,6691796.0,6665093.5
0_2025-11,0,2025-11,2,5951921.0,6141445.5,6334397.0,6525060.5,6707790.0,6121853.0
0_2025-12,0,2025-12,3,5938921.0,6136348.0,6336576.0,6534911.0,6722097.0,6810397.0
0_2026-01,0,2026-01,4,5945492.0,6154252.0,6355882.0,6553147.5,6753796.0,6540338.0
0_2026-02,0,2026-02,5,5895368.0,6104564.0,6313170.0,6517947.5,6718093.0,6033125.0
0_2026-03,0,2026-03,6,5917053.0,6134080.0,6342185.0,6547610.0,6754865.0,6625352.0
1_2024-11,1,2024-11,1,5663349.0,5817384.0,5975157.0,6134444.0,6299426.5,5927124.0
1_2024-12,1,2024-12,2,5621394.5,5780858.0,5952936.0,6128616.0,6305540.0,6130003.0
1_2025-01,1,2025-01,3,5609683.5,5775361.0,5954240.5,6139026.0,6323212.5,6228253.0
1_2025-02,1,2025-02,4,5577113.0,5749813.0,5931997.0,6118841.0,6316391.0,5610243.5
1_2025-03,1,2025-03,5,5572278.0,5746474.0,5933769.5,6129876.5,6330941.5,5971834.0
1_2025-04,1,2025-04,6,5573751.5,5753837.0,5940538.0,6136724.0,6346530.0,6066461.0
1_2024-12,1,2024-12,1,5629377.0,5777548.0,5927483.0,6076537.0,6227131.0,6130003.0
1_2025-01,1,2025-01,2,5622375.0,5775831.0,5937859.0,6100666.0,6258573.5,6228253.0
1_2025-02,1,2025-02,3,5584541.0,5743478.0,5910517.0,6081664.0,6246438.5,5610243.5
1_2025-03,1,2025-03,4,5578203.5,5745711.0,5914444.5,6086926.0,6262808.0,5971834.0
1_2025-04,1,2025-04,5,5582500.0,5750598.0,5925249.0,6104546.0,6282765.5,6066461.0
1_2025-05,1,2025-05,6,5586212.0,5760183.0,5935222.5,6114335.0,6299831.0,6226234.0
1_2025-01,1,2025-01,1,5725041.0,5870692.0,6017240.5,6156233.0,6295533.0,6228253.0
1_2025-02,1,2025-02,2,5687170.5,5841890.0,6001827.0,6158753.0,6307962.5,5610243.5
1_2025-03,1,2025-03,3,5663842.0,5824707.0,5994694.5,6161649.0,6317427.5,5971834.0
1_2025-04,1,2025-04,4,5659936.5,5832491.5,6004960.5,6173509.0,6342455.5,6066461.0
1_2025-05,1,2025-05,5,5662530.5,5838024.0,6020931.5,6198499.0,6369840.0,6226234.0
1_2025-06,1,2025-06,6,5612463.0,5796015.0,5980041.5,6158747.0,6341081.0,6054341.0
1_2025-02,1,2025-02,1,5765138.0,5929337.0,6087185.5,6233611.0,6376048.0,5610243.5
1_2025-03,1,2025-03,2,5717853.5,5894918.5,6073514.0,6239872.0,6396873.0,5971834.0
1_2025-04,1,2025-04,3,5696811.0,5884371.0,6072728.5,6254743.0,6424234.5,6066461.0
1_2025-05,1,2025-05,4,5690828.0,5893769.0,6086571.0,6276114.5,6462298.0,6226234.0
1_2025-06,1,2025-06,5,5653875.0,5859636.0,6062470.5,6262939.0,6454640.0,6054341.0
1_2025-07,1,2025-07,6,5649001.0,5864976.5,6072473.5,6273688.0,6475990.5,6450008.0
