row_id,series_id,year_month,step,p10,p25,p50,p75,p90,target
0_2024-11,0,2024-11,1,5772505.0,5917393.0,6242953.0,6653516.0,6866404.0,6106518.0
0_2024-12,0,2024-12,2,5809175.0,5952451.0,6292223.5,6723637.0,6999288.0,6338200.0
0_2025-01,0,2025-01,3,5909926.0,6111651.0,6435188.5,6846134.5,7064720.5,6483706.0
0_2025-02,0,2025-02,4,5290161.0,5439507.0,5758242.5,6166709.0,6339687.0,5788679.5
0_2025-03,0,2025-03,5,5894227.5,6128600.0,6553343.5,6995504.5,7127290.5,6167385.0
0_2025-04,0,2025-04,6,5592183.0,5773215.0,6110706.5,6527695.0,6708483.0,6268637.0
0_2024-12,0,2024-12,1,5739487.0,5881756.0,6244781.5,6675933.5,6948933.5,6338200.0
0_2025-01,0,2025-01,2,5895931.0,6107170.0,6435409.5,6848916.0,7073356.5,6483706.0
0_2025-02,0,2025-02,3,5288325.0,5446774.0,5763390.0,6178482.0,6355002.0,5788679.5
0_2025-03,0,2025-03,4,5907553.5,6152951.0,6576050.5,7025215.0,7162019.5,6167385.0
0_2025-04,0,2025-04,5,5605371.5,5795219.5,6130804.0,6553237.0,6739211.0,6268637.0
0_2025-05,0,2025-05,6,5935666.0,6097539.0,6399454.0,6821213.0,7009722.5,6495899.0
0_2025-01,0,2025-01,1,5849262.0,6055964.0,6395647.0,6810825.5,7048159.0,6483706.0
0_2025-02,0,2025-02,2,5280206.5,5447990.0,5760406.5,6181246.0,6373842.0,5788679.5
0_2025-03,0,2025-03,3,5916507.0,6173970.0,6588216.0,7046539.5,7201188.5,6167385.0
0_2025-04,0,2025-04,4,5612892.5,5812999.0,6139797.0,6570446.0,6773748.0,6268637.0
0_2025-05,0,2025-05,5,5949057.0,6119775.0,6414570.5,6844176.0,7049295.0,6495899.0
0_2025-06,0,2025-06,6,5738846.5,5875208.0,6199151.0,6612998.5,6791782.0,6238341.0
0_2025-02,0,2025-02,1,5217610.5,5377965.5,5700880.5,6114122.5,6320074.0,5788679.5
0_2025-03,0,2025-03,2,5892670.5,6156742.5,6564102.0,7022670.0,7199513.0,6167385.0
0_2025-04,0,2025-04,3,5593858.0,5801075.5,6116099.5,6550806.5,6772081.0,6268637.0
0_2025-05,0,2025-05,4,5936424.0,6113831.0,6397721.0,6832183.0,7054366.0,6495899.0
0_2025-06,0,2025-06,5,5731790.5,5873202.5,6189445.5,6607967.5,6800934.0,6238341.0
0_2025-07,0,2025-07,6,5792374.0,5946527.0,6267848.0,6653167.0,6846630.5,6719252.5
0_2025-03,0,2025-03,1,5810045.0,6072307.0,6500832.0,6936631.5,7122344.0,6167385.0
0_2025-04,0,2025-04,2,5563209.0,5776382.0,6094481.0,6519830.5,6750570.5,6268637.0
0_2025-05,0,2025-05,3,5932638.0,6116683.0,6396860.5,6830209.0,7059508.0,6495899.0
0_2025-06,0,2025-06,4,5736712.0,5884892.5,6197289.0,6616518.5,6815660.0,6238341.0
0_2025-07,0,2025-07,5,5804036.0,5964782.0,6282923.0,6669137.5,6868893.0,6719252.5
0_2025-08,0,2025-08,6,5926434.5,6053279.0,6337130.5,6699500.0,6896290.0,6162875.5
0_2025-04,0,2025-04,1,5481725.0,5674465.0,5994069.5,6421836.0,6644968.0,6268637.0
